Date,Company_ID,Ticker,Market_Cap_Billion_HKD,Market_Cap_Native_Billion,Currency,Close,Source,Updated_At
2026-05-11,minimax,0100.HK,231.149220,231.149220,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-11,zhipu,2513.HK,400.812940,400.812940,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-12,minimax,0100.HK,216.565180,216.565180,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-12,zhipu,2513.HK,374.508200,374.508200,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-13,minimax,0100.HK,256.553680,256.553680,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-13,zhipu,2513.HK,512.719550,512.719550,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-14,minimax,0100.HK,266.590010,266.590010,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-14,zhipu,2513.HK,485.968970,485.968970,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-15,minimax,0100.HK,249.026430,249.026430,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-15,zhipu,2513.HK,463.676810,463.676810,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-18,minimax,0100.HK,250.908250,250.908250,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-18,zhipu,2513.HK,506.923590,506.923590,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-19,minimax,0100.HK,232.874220,232.874220,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-19,zhipu,2513.HK,459.218380,459.218380,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-20,minimax,0100.HK,215.467460,215.467460,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-20,zhipu,2513.HK,471.701990,471.701990,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-21,minimax,0100.HK,207.940210,207.940210,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
2026-05-21,zhipu,2513.HK,450.301520,450.301520,HKD,,wind_excel_sheet,2026-05-24T02:32:31Z
